asset_id,structure_id,catchment_id,road_segment,service_area,road_class,culvert_shape,culvert_material,diameter_mm,span_mm,rise_mm,barrel_count,culvert_length_m,upstream_invert_m,downstream_invert_m,register_slope_percent,inspection_date,inspection_method,observed_blockage_percent,structural_condition_score,hydraulic_condition_score,inlet_condition,outlet_condition,reported_overtopping,recent_backwater_depth_m,maintenance_status,last_cleaned_date,register_note
CUL-001,SWC-001,CA-01,Oak Mill Road,North,Local,Circular,Reinforced concrete pipe,600,,,1,18.5,112.46,112.13,1.78,11/03/2025,Walk-through,12,4,4,Minor debris at inlet,Clear outlet,No,0.05,No action,18/10/2024,Routine condition
CUL-002,SWC-002,CA-01,Oak Mill Road,North,Local,Circular,HDPE,450,,,1,12,111.78,111.66,1,11/03/2025,Walk-through,18,4,3,Vegetation at inlet,Minor outlet scour,No,0.08,Monitor,02/11/2024,Seasonal vegetation
CUL-003,SWC-003,CA-02,Maple Service Road,North,Collector,Box,Concrete box,,1200,900,1,26.5,108.95,108.54,1.55,12/03/2025,Walk-through,8,5,4,Clear inlet,Clear outlet,No,0.03,No action,20/09/2024,Good access
CUL-004,SWC-004,CA-02,Maple Service Road,North,Collector,Circular,Corrugated metal pipe,900,,,1,34,107.82,107.28,1.59,12/03/2025,Walk-through,35,3,3,Sediment shelf at inlet,Minor corrosion at outlet,No,0.18,Routine clean,29/08/2024,Sediment accumulation
CUL-005,SWC-005,CA-03,Riverbend Avenue,Central,Arterial,Box,Concrete box,,1800,1200,2,42,104.31,103.82,1.17,13/03/2025,CCTV spot check,22,4,3,Small trash rack debris,Clear outlet,No,0.24,Monitor,17/01/2025,Dual barrel
CUL-006,SWC-006,CA-03,Riverbend Avenue,Central,Arterial,Circular,Reinforced concrete pipe,1200,,,2,39.5,103.74,103.28,1.16,13/03/2025,Walk-through,48,3,2,Heavy sediment at inlet,Standing water at outlet,Unknown,0.46,Work order open,04/12/2024,Repeat sediment
CUL-007,SWC-007,CA-04,Pine Ridge Lane,West,Local,Circular,HDPE,375,,,1,9,116.18,116.1,0.89,14/03/2025,Walk-through,5,5,5,Clear inlet,Clear outlet,No,0,No action,01/10/2024,Small driveway crossing
CUL-008,SWC-008,CA-04,Pine Ridge Lane,West,Local,Pipe arch,Corrugated metal pipe,,1300,900,1,21.5,115.6,115.22,1.77,14/03/2025,Walk-through,28,3,3,Leaf mat at inlet,Minor outlet scour,No,0.2,Monitor,14/09/2024,Arch barrel
CUL-009,SWC-009,CA-05,Willow Creek Drive,West,Collector,Circular,Corrugated metal pipe,750,,,1,29,101.82,101.38,1.52,17/03/2025,Walk-through,55,2,2,Partially buried inlet,Outlet erosion,No,0.58,No action,11/06/2024,Outlet erosion observed during inspection
CUL-010,SWC-010,CA-05,Willow Creek Drive,West,Collector,Box,Concrete box,,1500,1000,1,36,100.95,100.53,1.17,17/03/2025,Walk-through,42,3,2,Sediment wedge,Vegetation at outlet,No,0.51,Routine clean,22/07/2024,Moderate sediment
CUL-011,SWC-011,CA-06,Harbor Industrial Road,South,Industrial,Circular,Reinforced concrete pipe,1500,,,1,55,92.45,91.82,1.15,18/03/2025,CCTV spot check,15,4,4,Clear inlet,Clear outlet,No,0.15,No action,10/02/2025,Deep cover
CUL-012,SWC-012,CA-06,Harbor Industrial Road,South,Industrial,Circular,Corrugated metal pipe,1050,,,1,48,91.88,91.11,1.6,18/03/2025,CCTV spot check,63,2,2,Debris lodged at inlet,Corrosion and scour at outlet,Yes,0.82,Work order open,19/11/2024,Known nuisance flooding
CUL-013,SWC-013,CA-07,Cedar School Road,East,Collector,Box,Concrete box,,2100,1200,1,44,97.62,97.2,0.95,19/03/2025,Walk-through,10,4,4,Clear inlet,Minor outlet vegetation,No,0.1,No action,15/12/2024,School frontage
CUL-014,SWC-014,CA-07,Cedar School Road,East,Collector,Circular,Reinforced concrete pipe,,900,900,1,27,96.94,96.55,1.44,19/03/2025,Walk-through,24,4,3,Silt line at inlet,Clear outlet,No,0.18,Monitor,15/12/2024,Field sketch available from recent inspection
CUL-015,SWC-015,CA-08,Old Quarry Road,East,Local,Pipe arch,Corrugated metal pipe,,1600,1050,1,30,88.52,88.1,1.4,20/03/2025,Walk-through,38,3,3,Vegetation and gravel at inlet,Minor scour,No,0.33,Routine clean,27/05/2024,Gravel shoulder runoff
